eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f,t
13796869.949392753,0.0,13868092.446060048,250981.68331103775,831087.5803283236,4.927428960800171
13796869.949392753,0.0,13868092.446060048,250981.68331103775,831087.5803283236,23.302818059921265
