eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
11517537.899398783,660585.451722824,16839333.040326312,0.0,956371.5010096289
13859183.15229737,290211.6395940628,13559909.316840885,0.0,822390.3939262364
15421558.916386073,190001.14418451334,10993584.90690146,192591.02295854763,720145.6996778597
16719067.535438504,0.0,9226144.981605764,192983.06674735312,643776.1003393101
17679727.997984927,77197.52113087874,7489138.524302261,314829.2264628752,579241.8763640723
18564512.96023227,229764.29025412843,5837837.633308482,379272.2993362969,523187.3388279985
