eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
14100955.66001624,0.0,13221896.104745235,399737.06030907936,804134.7742047303
13969167.370098196,203574.7795638798,13610377.771186665,0.0,811948.8439049027
13673106.889867397,234799.65719667697,13803200.408238046,80152.13468095298,821578.8876543666
13610688.116552051,766982.2099712379,13394159.627003135,0.0,823706.1145309905
13780858.315912915,10739.461893234646,13955532.511446927,0.0,823287.034817921
13949662.486822326,0.0,13806777.002574673,0.0,819439.4923917422
13800410.482141294,241946.20740330731,13487683.65745249,184164.09380866904,818491.8277228735
13656370.64233723,454829.89646759356,13603929.513178354,0.0,819207.7097203361
13969895.17280672,0.0,13472589.225310972,313035.96648151416,810497.4635145852
13941258.475792658,0.0,13522803.72739336,290575.0750159519,807238.7926774184
13954259.601625837,0.0,13669899.58775407,119310.50848494336,811523.2126416737
13749415.72239971,494692.1581011226,13533627.425005065,0.0,815575.0835045871
13848918.702894088,219996.7257953583,13739219.1874888,44407.386693257075,820680.6101470591
13871043.318447726,0.0,13792149.278012423,261534.4970912719,823987.7508550949
13967599.511604924,0.0,13505946.561899992,372761.88239975733,813329.2657938463
13810429.824166244,528265.510649651,13114924.195548402,291125.7708749616,817399.4442081559
13874600.046967754,0.0,13829632.898813056,0.0,819716.8900763501
13972335.888226043,143057.1203878667,13527808.109945377,217881.86176559178,812536.4740955567
13866978.67957959,410107.19758720446,13283602.91317344,257217.14784067997,820914.180386525
13753653.149775939,308222.3605766361,13614282.104408018,0.0,818335.9901590629
14036542.802309785,0.0,13511648.847311826,362310.03694684716,813513.1468317023
13815172.501247799,0.0,13927718.83923737,0.0,815825.027181106
13911181.786457192,0.0,13717877.100894378,0.0,814948.755484126
13922426.018499754,0.0,13317817.898860723,623739.6677424498,820351.1810477539
13824063.28588566,34017.753485773785,13935627.491130412,0.0,823927.2246155269
13878274.126993017,0.0,13340545.624495998,610835.8934203516,814389.2013353837
13849856.745304098,0.0,13775155.551619695,152376.7564404325,820052.6700754914
13835972.574205453,100942.56190918465,13588978.586623505,339770.92627153266,819345.4276464407
13730931.724641243,590414.2769233965,13402549.338250753,0.0,822421.8894548727
13841517.414739514,697507.3850762962,12928209.42196969,345644.0320384737,810592.5979432641
13938729.043121798,92667.11756239651,13609573.064494554,0.0,813171.620380332
14014304.99952894,0.0,13654092.290914392,172181.50080648446,811551.5362062738
13693607.153975029,345225.23944149015,13583096.670789625,113943.90425729145,821316.5876498172
14144743.179203723,0.0,13625891.005586809,0.0,807251.2332908163
13608836.53439748,827060.2426117669,13206354.626736887,0.0,821971.8707498236
13992046.022000076,0.0,13612820.644534573,0.0,808346.7330508888
13897040.086529903,0.0,13720422.580254031,148088.04624156075,814765.6438223984
13662631.317199403,988018.3912574942,12900487.093697168,263131.10841635114,815697.8616980825
13904988.855349036,357443.5052633345,13462153.588205073,0.0,812465.2674404784
13834384.715313762,348263.14327209257,13311814.620851722,308512.6202352722,816563.0036223489
13904303.091452118,0.0,13734851.64697762,49163.334796882795,809284.2576150537
13877544.271999095,0.0,13516008.262921253,510829.3026852505,827353.8365925172
14001133.792913223,0.0,12748908.393805202,1187277.3375539957,810487.4238274753
13927084.70506207,191779.8276046651,13524501.754241403,96530.49866540926,818634.5510354032
13939101.9212163,37782.0059709641,13772576.66267869,0.0,813284.5157742712
13953268.516899506,0.0,13889082.41126129,7776.53978239484,817265.9659143527
13973857.304387663,0.0,13200347.915016294,714894.4287227553,813090.5016582204
13727404.671733728,643185.1888029916,13338478.612713762,0.0,819143.5834071892
13850009.976432558,355618.5859936052,13278680.33897483,428250.3288618013,817170.4458627887
13559910.361638801,849368.512280368,13316227.257192539,114933.82932697337,824409.245486158
13915695.074963348,0.0,13213762.293391285,722487.5860970737,814467.3378271392
13789571.910435725,0.0,13431349.967690684,561590.7518921924,824598.1621323668
