eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
13917988.721945431,0.0,13692280.24453778,212252.2351087241,814044.7703881636
13879099.586504819,0.0,13799329.135320771,11673.031678251393,816739.5214379343
13809305.150233056,432774.82042922213,13391356.844016327,0.0,818354.4612600469
13951186.466161968,134739.50185346574,13597091.006429253,166629.20645604722,813848.8191186774
13710379.51376886,690472.3979715451,13369554.709722195,0.0,823282.7297766451
13800562.902851447,388549.22545715433,13494526.353294753,0.0,811538.1294061962
13627450.071901327,609831.5085895447,13233245.940007405,355343.16402905807,829876.6095423872
13945799.804683262,0.0,13521386.23855703,277356.93569733115,811629.3758123978
13716191.84603305,498397.78191416635,13583917.936694073,0.0,826098.6651712424
13902635.581123838,179387.89531216296,13392613.052725969,401589.6972190932,815522.0323593151
13749189.669662675,421972.6111555337,13501376.487969352,65163.10494274171,816403.7845465313
13814897.962210378,0.0,13857744.061602684,122253.8433812241,824533.4438270987
13975033.953653425,0.0,13507426.457077686,332139.19290377345,813435.0265181476
13802131.111253276,194902.44251243022,13447107.84200629,390520.69261864683,821595.0449213911
14030775.379802333,0.0,13221671.729205692,608995.6546207867,816762.4866383529
13894728.853976456,0.0,13654603.214343544,239787.04326193055,818953.4877870083
14081613.687469244,0.0,13167359.742211377,613352.4149563427,813138.8365096757
13873526.861252418,59971.11308217382,13749480.347811213,0.0,815235.8990486931
13545650.96545946,1084333.056067766,12929182.469126696,244664.02887569045,823875.0390164062
13613369.34522285,764621.7333331953,13236162.221805472,223964.40582098934,827090.0856582825
13852047.72461092,3054.615734749463,13796084.064964972,219491.27670814825,823426.5605882764
13916167.30560985,0.0,13847468.1027455,44402.908416376726,813652.9449632252
13898499.119264297,0.0,13797672.491201831,96282.40552957155,818236.744793279
13762585.898288835,383283.05887307686,13522046.963813264,214616.10464419393,822452.2597142732
13970261.412525471,0.0,13749480.230459334,0.0,810848.744473428
13826988.223328885,283079.867746766,13416521.8627645,312330.48104308476,818386.4241826178
13795640.997960769,99272.4448647009,13817135.407547938,21343.31433566675,816967.9791890999
13775588.509868093,0.0,13800201.386763139,158688.17102620483,813853.642432961
13939148.638865069,157169.8378748764,13479401.78431347,272617.84420180623,810111.9816013371
13962272.028032372,0.0,13768443.83894252,15168.993405969219,812731.8323606389
13706847.820852425,357151.716935869,13459390.34525171,403372.66167648695,828783.2199525482
13668770.598184329,692739.3431419759,13215066.720760826,273819.8766530305,824565.3231672382
13931485.126247358,0.0,13625290.570621142,292387.7764260882,817077.0683891866
13846338.392353646,0.0,13917583.507581562,0.0,822644.0637441735
13867896.115766343,297851.4144578178,13426019.167484678,167767.66520012615,813903.3683580483
13930099.670800654,55754.89137527395,13730326.449796755,0.0,813229.1066276175
13952738.530288767,0.0,13570842.361059139,268242.75595090236,815771.6908902006
13797686.639676712,531939.5006435824,13330178.782108126,0.0,822643.2487991671
14000450.108005546,0.0,13708499.748966597,128469.9337541248,811549.8503924994
13884384.609196944,42850.56908719185,13890034.135232346,0.0,818502.5682756904
13833087.81322154,316096.0620751345,13421096.947693035,230431.91961395513,820262.7991850391
