eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
13466812.49284181,0.0,14280409.193936283,0.0,801991.2917632082
13710645.753134852,0.0,13567040.087216116,0.0,805718.3603575948
14478005.011488039,0.0,13561905.279831445,0.0,768163.9211768326
14653374.592448507,0.0,11236958.735319776,1978368.880211069,789596.8837106236
13757856.27444648,889406.9297648523,11629150.992435472,1718130.0905938388,801178.6795366586
14308767.12333324,806656.7916658679,11493299.721072335,1472072.7487287933,784543.5165373414
14575797.22586166,0.0,12898131.681961754,0.0,779520.556234075
13865153.861526983,1194634.1204874238,11857909.97819391,1467154.4528940865,832770.7949618477
14982896.0791938,0.0,11002146.303926215,1986844.6507128072,757736.7421314255
14508804.726834288,0.0,12876560.202159148,204226.77934070566,811084.0340660063
13110955.632599626,3105856.2850231524,11264808.096828198,60305.35373702754,805558.6321744856
13094566.137321861,1639065.3193142891,12124754.749362426,363164.17458380864,799361.3909920128
14451023.89926423,0.0,9824080.753928442,4224238.527041402,811310.3509240531
12547884.291730108,5265969.365027988,9007173.874221899,0.0,811004.5089251868
14546492.330103727,0.0,12685793.451364603,0.0,802990.6938201083
14625319.79730364,434866.58271608845,11286658.946736855,1591305.0221045273,773516.8211247728
14128126.8929566,0.0,13286360.62229103,240237.20164513524,833009.2746402236
13314220.717465814,604748.4813501992,13241228.810568772,0.0,821178.0388592728
12868037.267535254,3471122.3656030367,11344705.559915125,0.0,822720.6194801835
14112004.153839542,0.0,13122995.157490565,0.0,790666.3601772711
12999095.95024195,1560834.4008148492,10323198.976404099,4189363.048313458,861044.9781365353
14088404.68670649,48754.75273639342,11611907.97687803,2110507.263961784,835148.1775343369
12838409.335814672,6157505.086574869,4740695.672407265,4891153.912845447,843939.2578358524
14313244.399975749,866309.5951940482,11384238.668195693,1448504.3669244396,773631.5275302636
14045101.513752226,0.0,12397949.87517366,1460160.5920340493,805253.5381850738
14842407.829268156,0.0,10466885.499897297,3175338.971353615,803311.9896455172
14629883.860878402,0.0,10026737.107270574,3400159.551318663,795114.1436345716
14017202.895733193,0.0,13597623.14112977,142697.6923242346,806279.6306767346
14157692.568504687,22377.340321920372,13471639.641140409,216481.76983881896,770582.92038019
13209834.279221881,2429094.6816920913,10764552.68645397,1700613.4911606065,858610.6543645959
13199543.194870485,2199717.9796661385,12644853.088337718,13762.509328996486,861164.1037405118
14229878.834601905,0.0,13480318.62889018,0.0,810227.2083223955
13936991.075209616,0.0,12909901.014321847,440682.5988574806,763715.8227311042
13335161.422210315,2369925.8752008583,11853894.178235352,63657.23437158435,822957.8688154398
13769741.837168721,94637.10172040631,13899809.424011268,0.0,847674.960694938
13441801.514077269,2403843.7782289432,9758414.323858216,2505194.4964955337,816490.1629474413
13313612.826065438,948008.9200611652,13263408.594803201,700466.0648000094,828918.1542017969
13538796.726395229,2123609.055601332,11513847.615673333,203773.28654765047,797031.2822219057
14126808.052028038,0.0,12960473.399305034,0.0,814569.2400032379
14053245.835223837,0.0,13281762.270557526,0.0,795509.3489255094
13472105.373218501,1419283.6156783765,11911948.127108138,1329548.4619567322,827036.7621145004
14816457.12840931,0.0,9764076.792956887,3046687.6261917744,774565.3705379925
12834061.475381723,3044876.733192484,10975852.13050309,1125781.4867978436,849344.7030769099
13232470.600326886,557682.310650452,13357609.889893932,1078019.8700216326,839943.3837910886
14124380.955581196,0.0,12130689.942808336,1317125.9226574032,791631.3922359699
14484285.957618963,0.0,13097278.476474421,113647.77778595987,774676.774181763
12923543.206419805,1697909.0317496527,13249024.67780588,0.0,835994.8054421799
13535425.85823462,835372.4760137334,12545143.112117106,0.0,772997.0637682524
14406064.973767964,0.0,12901434.632917054,0.0,762631.0978740116
13677346.819365533,1692469.7195633645,12309680.34966121,0.0,817223.5702450487
13063955.412363352,2320771.960921212,10683493.217070311,2000021.6129284299,824887.1485273781
13405053.398154804,2853317.455790949,10493154.906436833,1176554.4245304582,821057.2068750231
13582488.116819324,59495.21924448406,12667430.834564632,1803016.425034842,817047.808949945
13975517.57313563,0.0,13614018.176976247,388314.4033833316,827862.8833522346
12998595.678477751,2082532.208803597,12907416.772347968,0.0,817693.7528722002
14911166.860920364,0.0,12498727.165581072,0.0,776469.2648171551
12266278.726140976,4408758.101310948,10754717.37267163,0.0,844204.1100585033
14842362.949708955,0.0,9214354.249448523,4397939.610447572,805626.2906331565
13801732.571191892,0.0,13694246.11536082,0.0,820846.8360231742
14423138.710544111,0.0,12472058.042067777,1026998.7072954588,781859.107600765
13558424.324193956,0.0,13791261.187955603,719260.5727352302,846140.4453680704
14037854.926186536,2757628.359753336,9067841.128560754,2332354.6397358337,822296.1133325492
14438398.011284051,0.0,10845395.384074107,2790435.0465110675,799310.1165180982
12213612.016374756,4622110.181898126,9974280.227041297,0.0,843168.1434846122
12243203.460466234,3707433.936807549,10763415.20433189,1191472.3001451446,837427.45544689
13352978.853532024,894950.6444110954,13080147.265993502,746794.8217921994,841380.7382313423
14565702.410778003,0.0,11350060.804450741,2610095.866892219,826200.8083132616
13286030.81184476,2117601.258781184,11441089.592616953,675448.3013285877,800274.3581242142
13837806.844302323,946490.3209108058,12952536.340347836,0.0,809621.8625363207
13694494.144058462,0.0,12423261.903497305,1706143.2629962726,823826.8274027153
13575799.917667719,0.0,13284880.954166848,665996.7913601156,830268.8802421754
13888989.745575478,181048.87296474047,13369467.77816211,0.0,791651.1529012884
13205256.836301073,1504766.9686198463,12013992.109603269,1486219.4410478254,858146.0874527731
