eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
13999200.0691503,0.0,13839699.473896561,4235.419713866131,818848.4540404856
13641225.789956348,492319.91727503156,13488705.918936843,0.0,814637.4325909885
13856653.720501876,0.0,13721301.142960737,443361.58511251817,832808.6671355565
13396467.640548747,1454348.9218073066,12617452.3122488,351195.53749647766,828262.8805624127
13771347.034600059,1046116.4473492387,12764410.392847162,0.0,819319.0857020138
14036633.333842818,0.0,13553296.65854339,0.0,802722.1085805022
13969425.320920989,0.0,13716280.939023979,199721.43899255706,822880.5999076257
13905308.759916915,18305.407178682028,13763571.252692945,176911.5811649081,824041.2565040798
13999310.456699722,0.0,13368726.256242359,457708.71435605804,814349.7037426583
13628993.717279848,726386.6777188584,13290914.82755313,0.0,816387.6081511102
14038656.458802154,0.0,13333369.664216878,335099.58651101973,804072.4731599054
13825300.970112124,296381.0044828751,13663127.844497802,60626.86011865907,815041.0771871221
13670420.813301932,1088465.123797796,12945262.380248958,0.0,816244.615021164
13452965.054532675,429257.3487003247,13651331.62500817,532489.2257134803,836757.5478990675
14015489.067853568,0.0,13732597.793055054,0.0,805974.431503628
13871960.977735316,0.0,13390633.291569209,559119.239184389,814692.6732951455
13675524.681144612,794578.3787857041,13193072.83646366,0.0,811002.4667379743
13868534.691744292,169340.23040784322,13213884.0726819,627818.8822086126,812713.4911077027
13649815.605726575,1069506.8420509438,12977175.399145061,0.0,827178.8231246661
13583673.361589558,1241483.1158892722,12830031.305771919,195558.6109833639,823103.6019750042
14133278.493774828,0.0,13471065.24160522,200524.00688074194,807049.5556045444
13663085.36398992,336198.910914703,13586892.656216625,0.0,822309.61620763
13882358.836236823,589413.7816871929,12881138.514700277,519586.624713523,819274.1967400208
14232342.74123501,0.0,13524041.538114714,0.0,804452.7223699482
13829035.155155376,323561.11901362624,13469595.827634882,0.0,810651.2290576264
13855733.980083728,0.0,13808442.204434672,0.0,814853.3655213765
13600260.869498875,1298878.3621980024,12084358.645812804,1118052.6944410142,816255.7442365689
13587150.797919115,907217.9593152629,13140922.773196593,0.0,825079.3775718248
13606786.419970935,859740.7721665781,13303508.696454922,28529.514680205135,819567.1182630165
13371765.95142072,1572572.0984085288,12608465.001694616,66837.60971602771,818503.6448913191
13819231.246310523,580841.574807938,13147898.84070018,251909.22006353122,812178.6392148876
13832617.730837654,0.0,13900803.381270781,0.0,815549.4070772872
13714958.790484166,0.0,13689009.795608867,422624.5952505163,827117.8893125583
13976162.998992924,0.0,13469011.003315803,416034.22901204875,811331.6289634263
