eur_in_forward[0],eur_in_call[0],eur_in_call[1],eur_in_call[2],f
13469977.409544958,2836368.236472162,11188940.159747789,0.0,804411.6721459641
14056696.692751182,0.0,13242256.21378751,544229.0731637926,820104.1933536424
14006216.32754382,0.0,13507110.538204402,0.0,796142.7440413829
14163700.028138515,0.0,13351249.712984888,0.0,799885.3631508664
14353026.929369293,0.0,12586550.60806127,904855.7972102216,800812.6694093327
13672988.450843869,0.0,14007113.77578758,0.0,812549.2436471202
13651945.097225646,781054.8835044872,13309372.030855596,150361.87831030687,828572.4680794361
14025213.140176369,0.0,13585469.843563791,325322.8526349996,829515.2156229628
14283494.346733842,0.0,13338355.585730905,131600.77182067058,809978.8474214766
14134657.976666808,0.0,13395542.014977926,105353.5976856478,807940.300600487
13641559.073986156,1765038.4338539569,10677679.218305865,2127849.123509106,824094.2921237326
13847962.785435224,1054641.7136512802,12640828.91904617,312570.8729214614,820072.9949153981
13458148.952231523,961746.4072184558,13052513.753937421,367673.26925676136,836980.4816582741
13835216.829465074,121311.75600616909,13160951.645278413,811802.2243925566,819995.925713376
13539357.860034276,470831.9081357838,13752297.670648936,0.0,825163.6872257103
13251700.551650107,1402103.958797833,12976465.902349424,148468.01190518567,848349.5686995748
13966843.312848175,0.0,13440241.243589398,442296.8779446446,812816.8059542244
13798201.106057933,935454.4383493694,13065484.302595975,0.0,809717.2380284884
13928090.32719029,0.0,13889823.614638453,0.0,823793.1245620605
13829566.510376407,405208.9119696984,13346786.755587095,0.0,807075.3582959969
13791435.53480834,1557555.737532181,12023002.419906741,731665.0939953008,821777.5769297134
14000925.19797637,0.0,13707836.554320153,51186.10952379325,815468.0498230205
14293127.955885863,0.0,12969471.556472896,510207.54178390757,796647.8970734882
13679225.431226732,1869676.2922080688,11632884.743827494,513113.3824472283,816106.6654975609
13649180.075739246,617750.1697065552,13469798.727800524,329354.1496516547,842787.105014293
13008139.63339839,2353456.149087554,12363777.029103136,0.0,832520.3188118108
14035458.82775081,0.0,13965470.508323561,0.0,822117.0286074984
13896119.348540384,0.0,13607278.648616891,378580.79050396016,817416.479039898
13464146.04783939,998978.6239346684,13296735.487203145,69707.99698593428,828529.9704420853
14016656.852539957,391823.714516657,12427102.001821948,1125182.3170870529,808449.0534943128
13783394.45996174,525037.4787997894,13194399.659385478,388227.7491122484,820655.9265644317
13630671.463939061,0.0,12989242.116777353,1215287.1549163656,830196.1476628521
14124390.736898957,0.0,12862080.07141263,777883.077068234,809416.3619392625
14405407.536508799,0.0,13230761.491193067,82859.24361216152,805545.8710290447
14005430.156634636,0.0,13507107.073407114,207429.05131523442,810133.8456372594
13386528.029701285,1456112.5214496239,12864880.764397742,0.0,832040.9036204019
13726778.241857061,783218.7387849413,13357205.613196727,0.0,829679.9919262503
